Employee_Name,EmpID,MarriedID,GenderID,DeptID,New PayRate (hour),PositionID,State,DOB,DateofHire,DateofTermination,TermReason,EmploymentStatus,ManagerID,RecruitmentSource,PerformanceScore,EmpSatisfaction,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,PerformanceScore_Norm,PerformanceScore_Scaled,EmpSatisfaction_Scaled,Tenure,Age,AgeGroup
" Gonzalez, Maria     ",1988299991,0,0,3,39.0,14,MA,1981-04-16,2015-05-01,,N/A - still employed,Active,7,Employee Referral,Fully Meets,4,2129,12728,10695,5004,13119,11449,16532,6210,3304,19519,16779,8696,3,0.6666666666666666,0.75,9.375342465753425,43,40-49
" Cockel, James     ",1599991009,0,1,5,15.0,19,MA,1977-09-08,2013-08-07,,N/A - still employed,Active,14,Employee Referral,Fully Meets,5,12108,3405,10656,16470,7631,6389,5756,4279,16213,13739,7195,15137,3,0.6666666666666666,1.0,11.106849315068493,47,40-49
" Bunbury, Jessica     ",1504073368,1,0,6,55.0,3,VA,1964-06-01,2011-08-15,2014-02-08,Another position,Voluntarily Terminated,17,Social Networks - Facebook Twitter etc,Fully Meets,5,6460,1382,8876,4721,1333,7168,10611,5983,16074,12277,4283,4563,3,0.6666666666666666,1.0,2.4876712328767123,60,60-69
" Buck, Edward     ",1504073313,1,1,6,55.0,3,MA,1975-07-07,2014-09-29,,N/A - still employed,Active,21,Employee Referral,Fully Meets,5,18334,17247,14005,8298,19175,6594,3711,13233,13932,8141,7649,18477,3,0.6666666666666666,1.0,9.961643835616439,49,40-49
" Jacobi, Hannah       ",1503072857,0,0,5,25.2,19,MA,1966-03-22,2013-09-30,,N/A - still employed,Active,20,Employee Referral,Fully Meets,5,11083,19473,17169,7157,19528,7797,17819,6134,4668,19738,12602,2713,3,0.6666666666666666,1.0,10.95890410958904,58,50-59
" Riordan, Michael     ",1502072711,0,1,6,55.0,3,ND,1968-01-15,2006-09-01,,N/A - still employed,Active,21,Billboard,Exceeds,3,14058,13367,17706,15370,11180,16638,8526,12465,7376,5729,8421,9146,4,1.0,0.5,18.043835616438358,56,50-59
" Ferguson, Susan     ",1502072511,1,0,5,24.0,19,MA,1955-04-14,2011-07-11,2014-05-17,military,Voluntarily Terminated,39,Search Engine - Google Bing Yahoo,Fully Meets,3,12611,4567,12116,17930,5491,18738,6723,19052,9719,10441,15085,9118,3,0.6666666666666666,0.5,2.852054794520548,69,60-69
" Albert, Michael       ",1501072311,0,1,5,54.5,17,MA,1968-10-10,2011-01-08,,N/A - still employed,Active,2,Employee Referral,Fully Meets,3,16760,9300,7526,4209,5715,18538,10199,12845,2551,13436,15072,17351,3,0.6666666666666666,0.5,13.687671232876712,55,50-59
" Gentry, Mildred     ",1501072192,1,0,5,22.8,19,MA,1990-10-01,2015-03-30,,N/A - still employed,Active,22,Professional Society,Fully Meets,3,3668,6863,7505,11676,5541,14563,1420,8050,19793,2272,10278,10821,3,0.6666666666666666,0.5,9.463013698630137,33,30-39
" Onque, Jasmine     ",1501072180,0,0,6,57.0,3,FL,1990-05-11,2013-09-30,,N/A - still employed,Active,21,Pay Per Click - Google,Fully Meets,3,12245,16054,7602,10047,9271,7093,18415,6692,10881,17010,18275,13297,3,0.6666666666666666,0.5,10.95890410958904,34,30-39
" Desimone, Carl      ",1501072124,1,1,5,20.0,19,MA,1967-04-19,2014-07-07,,N/A - still employed,Active,11,Professional Society,Poor,2,9261,16789,12143,15319,11464,13329,3961,10588,10447,18348,12993,10108,1,0.0,0.25,10.191780821917808,57,50-59
" Galia, Lisa     ",1501072093,0,0,3,37.68,14,CT,1968-07-06,2010-01-05,,N/A - still employed,Active,6,Vendor Referral,Fully Meets,4,12019,11428,5261,1751,11277,15817,11974,8412,3046,18419,11320,19589,3,0.6666666666666666,0.75,14.695890410958905,56,50-59
" Smith, Sade     ",1501071909,0,0,5,29.4,19,MA,1965-02-02,2013-11-11,,N/A - still employed,Active,19,Employee Referral,Fully Meets,3,13228,10307,12633,8356,11364,11253,4522,17826,16034,3699,6903,11444,3,0.6666666666666666,0.5,10.843835616438357,59,50-59
" Robertson, Peter     ",1499902991,1,1,5,22.0,20,MA,1972-07-03,2011-05-07,2012-08-02,Another position,Voluntarily Terminated,20,Glassdoor,Fully Meets,5,17220,14668,10236,14772,15657,6559,13065,2479,9512,12756,17053,7467,3,0.6666666666666666,1.0,1.2410958904109588,52,50-59
" Smith, John     ",1499902910,0,1,6,56.0,21,MA,1984-08-16,2014-05-18,,N/A - still employed,Active,15,Diversity Job Fair,Needs Improvement,4,17469,17018,14737,12298,15618,1065,16259,1117,11015,2785,5481,8234,2,0.3333333333333333,0.75,10.32876712328767,40,40-49
" Biden, Lowan  M     ",1412071844,0,0,5,26.4,19,MA,1958-12-27,2013-08-19,,N/A - still employed,Active,19,Billboard,Fully Meets,3,2046,16153,15172,11889,12454,6692,19513,6288,12087,10117,8360,7376,3,0.6666666666666666,0.5,11.073972602739726,65,60-69
" Jhaveri, Sneha       ",1412071713,0,0,5,22.8,19,MA,1964-04-13,2014-06-01,,N/A - still employed,Active,18,On-campus Recruiting,Fully Meets,5,17862,13147,10165,12345,1975,11306,12639,13276,1483,5789,8403,2231,3,0.6666666666666666,1.0,10.29041095890411,60,60-69
" Leruth, Giovanni     ",1412071660,0,1,6,55.0,3,UT,1988-12-27,2012-04-30,,N/A - still employed,Active,17,Website Banner Ads,Fully Meets,3,17010,19016,3263,5474,17424,14039,10515,14943,10879,15981,8980,11890,3,0.6666666666666666,0.5,12.378082191780821,35,30-39
" Favis, Donald       ",1412071562,0,1,3,58.2,30,CT,1964-07-30,2014-02-17,2016-02-19,hours,Terminated for Cause,4,Vendor Referral,Fully Meets,5,2076,7713,6597,4571,13423,5172,1827,12231,8519,9148,9635,2099,3,0.6666666666666666,1.0,2.0054794520547947,60,60-69
" Turpin, Jumil     ",1411071506,1,1,3,49.1,15,MA,1969-03-31,2015-03-30,,N/A - still employed,Active,7,Employee Referral,Fully Meets,4,13201,4846,15635,11044,10856,16370,3253,19938,14120,14315,5168,5626,3,0.6666666666666666,0.75,9.463013698630137,55,50-59
" Gonzales, Ricardo     ",1411071481,1,1,6,55.5,3,ID,1954-10-12,2014-12-05,,N/A - still employed,Active,17,Monster.com,Fully Meets,3,2421,6820,19867,19743,7249,14936,4865,10068,9144,19579,2667,11188,3,0.6666666666666666,0.5,9.778082191780822,69,60-69
" Peters, Lauren     ",1411071406,1,0,5,34.8,20,MA,1986-08-17,2011-05-16,2012-04-02,more money,Voluntarily Terminated,19,Pay Per Click - Google,Exceeds,5,4198,6350,9621,6808,16792,1562,14288,11473,3924,18482,9567,6991,4,1.0,1.0,0.8821917808219178,38,30-39
" Gonzalez, Juan     ",1411071324,1,1,5,29.0,20,MA,1964-10-12,2010-04-26,2011-05-30,career change,Voluntarily Terminated,12,Diversity Job Fair,Poor,3,3549,1812,1144,6704,5530,18090,10906,1353,1270,7773,17798,16929,1,0.0,0.5,1.093150684931507,59,50-59
" Daniele, Ann       ",1411071312,1,0,3,54.1,28,CT,1952-01-18,2014-10-11,,N/A - still employed,Leave of Absence,7,Vendor Referral,Fully Meets,5,3922,17679,15934,14003,15654,7147,12823,12593,18956,6410,12492,14099,3,0.6666666666666666,1.0,9.92876712328767,72,
" Fraval, Maruk      ",1411071302,0,1,6,55.0,3,CT,1963-08-28,2011-06-09,,N/A - still employed,Active,21,Monster.com,Fully Meets,3,5365,8050,6232,15419,19269,19055,14739,10059,9908,3926,1521,10228,3,0.6666666666666666,0.5,13.271232876712329,61,60-69
" Strong, Caitrin     ",1411071295,1,0,6,54.0,3,MT,1989-05-12,2010-09-27,,N/A - still employed,Active,17,Professional Society,Fully Meets,4,9088,15077,2823,13381,1879,4918,10727,7142,10119,14884,9866,7316,3,0.6666666666666666,0.75,13.96986301369863,35,30-39
" Gonzalez, Cayo     ",1411071212,0,1,5,16.0,19,MA,1969-09-29,2011-11-07,,N/A - still employed,Active,12,Diversity Job Fair,Exceeds,4,1169,10636,2019,12220,18446,17184,16765,5318,14646,10725,9792,14230,4,1.0,0.75,12.857534246575343,54,50-59
" Hernandez, Daniff     ",1410071156,1,1,3,40.1,8,MA,1986-08-07,2015-02-16,2015-02-22,"no-call, no-show",Terminated for Cause,4,Employee Referral,Fully Meets,3,1911,1248,6964,3268,14641,13622,9461,6982,7835,12550,1843,5267,3,0.6666666666666666,0.5,0.01643835616438356,38,30-39
" Sparks, Taylor       ",1410071137,1,0,5,19.2,19,MA,1968-07-20,2012-02-20,,N/A - still employed,Active,12,Billboard,Poor,2,5269,13581,18166,7507,17980,14949,10164,17634,18676,2821,16663,1349,1,0.0,0.25,12.56986301369863,56,50-59
" Wallace, Courtney  E     ",1410071026,1,0,5,40.199999999999996,18,MA,1955-11-14,2011-09-26,2012-02-01,Another position,Voluntarily Terminated,2,Diversity Job Fair,Fully Meets,3,17460,11356,6029,17224,17154,14518,10660,18471,17073,4325,9730,2968,3,0.6666666666666666,0.5,0.3506849315068493,68,60-69
" Saar-Beckles, Melinda     ",1410070998,0,0,5,24.0,19,MA,1968-06-06,2016-04-07,,N/A - Has not started yet,Future Start,18,Diversity Job Fair,Needs Improvement,4,13694,6513,7489,18617,6228,17358,17517,3041,3716,16074,15262,10563,2,0.3333333333333333,0.75,8.438356164383562,56,50-59
" Costa, Latia     ",1409070567,0,0,6,55.0,3,CA,1988-11-08,2011-10-01,,N/A - still employed,Active,21,Other,Exceeds,5,9179,5761,17566,16854,9362,13358,16529,14433,1869,5994,5842,12062,4,1.0,1.0,12.95890410958904,35,30-39
" Adinolfi, Wilson  K     ",1409070522,0,1,5,20.0,19,MA,1983-07-10,2011-05-07,,N/A - still employed,Active,22,MBTA ads,Exceeds,5,1356,6508,11055,18605,10136,16346,13429,1058,8043,9501,16099,16396,4,1.0,1.0,13.361643835616439,41,40-49
" Tippett, Jeanette     ",1409070255,0,0,5,28.799999999999997,19,MA,1967-06-05,2013-02-18,,N/A - still employed,Active,12,Billboard,Fully Meets,5,19222,4069,11963,12692,6833,9620,16342,19464,7700,4550,9729,5070,3,0.6666666666666666,1.0,11.572602739726028,57,50-59
" Meads, Elizabeth     ",1409070245,0,0,5,16.8,19,MA,1968-05-30,2012-02-04,2015-11-11,Another position,Voluntarily Terminated,18,Diversity Job Fair,Fully Meets,4,10670,5506,9105,5774,8112,14346,16971,19601,14415,8401,7135,16936,3,0.6666666666666666,0.75,3.76986301369863,56,50-59
" Dunn, Amy       ",1409070147,0,0,5,51.0,18,MA,1973-11-28,2014-09-18,,N/A - still employed,Active,2,Search Engine - Google Bing Yahoo,Fully Meets,4,5822,19950,11129,11293,15601,11780,5492,7269,7939,19426,6954,5085,3,0.6666666666666666,0.75,9.991780821917809,50,50-59
" Ivey, Rose      ",1408069882,0,0,5,19.2,19,MA,1991-01-28,2013-08-19,,N/A - still employed,Active,12,Professional Society,Fully Meets,3,17928,2471,13266,11515,13192,5103,14534,19297,7364,5983,2443,10764,3,0.6666666666666666,0.5,11.073972602739726,33,30-39
